series,episode,baker,result,signature,signature_ingredients,showstopper,showstopper_ingredients
8,1,Chris,IN,Tropical Fresh Fruit Cake,"mango, pineapple, limoncello liqueur",'Raised Pork Pie and Egg Surprise' Cake,"almond extract, marzipan"
8,1,Flo,IN,Citrus Layer Cake,"lemon curd, candied oranges, candied lemons, buttercream",'One in a Melon' Cake,"melon syrup, chocolate chips, fondant"
8,1,James,IN,"Orange, Rhubarb & Ginger Crumble Cake","orange zest, orange juice, ginger, rhubarb,",'Mock-accino and Croissant' Cake,"coffee buttercream, coffee sponge, marshmallow fondant"
8,1,Julia,IN,Courgette and Lemon Cake,"lemon, zucchini, candied lemon, blueberry",'Russian Doll' Cake,"victoria sponge, raspberry jam, buttercream, fondant"
8,1,Kate,IN,Moroccan Strawberry and Rose Cake,"strawberry, cream cheese frosting, rose water",'Chocolate Terrarium' Cake,"glacier mints, chocolate and coffee butter cream, star anise, chocolate"
8,1,Liam,IN,Apple and Almond Crumble Maple Loaf,"bramley apples, granny smith apples, maple syrup glaze, flaked almonds, nutmeg, cinnamon",'Stackin' Sunday' Cake,"banana, blueberry, marshmallow fondant, granola crumble"
8,1,Sophie,IN,Pineapple and Coconut Sandwich Cake,"toasted coconut flakes, pineapple, coconut, coconut italian meringue buttercream",'Champagne Bottle and Bucket' Cake,"chocolate, cherry syrup, chocolate ganache"
8,1,Stacey,IN,Granny Smith Apple and Walnut Cake,"granny smith apple, walnut streusel, caramel sauce, cinnamon, nutmeg",'Black Evening Clutch Bag' Cake,"red velvet chocolate, chocolate cream cheese frosting"
8,1,Tom,IN,Gilded Pear and Cardamom Cake,"pear, blakc berry compote, blackberry, green cardamom",'Stack of Books' Cake,"lemon zest, poppy seed"
8,1,Yan,IN,Windfall Apple Crumble Cake,"diced bramley apples, ground cinnamon, caramel",'Banana-ramen' Cake,"banana, marshmallow fondant, mango, rice krispies"
8,1,Peter,OUT,Coconut Cake,"coconut milk, coconut flour, fresh coconut, coconut sugar, buttercream frosting",'Bread on a Breadboard' Cake,"lemon zest, marshmallow fondant "
8,1,Steven,STAR BAKER,Bonfire Night Cake,"mini toffee apples, mascarpone cinnamon cream, candied citrus zest",'A Baker's Lunch' Cake,"hazelnut liqueur, fondant, peanut buttercream, chocolate"
8,2,Flo,IN,Gin Jam Butties,"raspberry gin, raspberry, buttercream",'Pick My Bones' Game,"almond, vanilla extract"
8,2,James,IN,Rhubarb and Custard Whirls,"rhubarb curd, vanilla buttercream, custard powder",'Coppit' Game,"spiced orange, chocolate, ginger, cocoa powder"
8,2,Julia,IN,Middle Eastern Delight Sandwich Biscuits,"pistachio extract, pistachio, cardamom, vanilla and rose jelly, rose water",'A British Baking' Game,"ginger, cocoa powder, lime juice, chocolate, orange liqueur"
8,2,Kate,IN,Coconut Seashells for a Titanic Afternoon Tea,"desiccated coconut, coconut rum cream, pineapple, pineapple curd",'Jungle' Game,"grains of paradise, lemon zest, orange zest, cardamom"
8,2,Liam,IN,Coffee Malted Pecan Shorties,"coffee buttercream, chopped peacan, malt extract",'Classroom Classics' Game,"chocolate, orange, lemon, honey, ginger, cinnamon, cocoa icing"
8,2,Sophie,IN,Lemon Limoncino Sandwich Biscuits,"limoncino, lemon zest, yuzu juice",'Snakes and Ladders' Game,"dark chocolate, bergamot oil, lemon zest, royal icing"
8,2,Stacey,IN,Sparkly Chocolate and Marshmallow Fluff Cookies,"marshmallow fluff, chocolate, cocoa powder",'Get to School' Game,"cocoa powder, freeze-dried strawberries, vanilla, chocolate"
8,2,Tom,IN,Coffee and Amaretto Kisses,"amaretto liqueur butter cream, espresso powder, chocolate ganache",'Drain Pipes and Ladders' Game,"chocolate, cinnamon buttercream, cocoa powder, peppermint essence, cinnamon, nutmeg"
8,2,Yan,IN,'Mrs. Marian's PB 'n' B' Biscuits,"peanut butter, vanilla extract, banana butter cream",'Adventures in Bakeland' Game,"lemon zest, matcha powder, orange, cardamom"
8,2,Chris,OUT,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,"whiskey, orange, dark chocolate, salted caramel, chia seed",'The Great British Sail Off' Game,"rum, ginger, cardamom, orange zest,"
8,2,Steven,STAR BAKER,Amarpressi Biscuits,"amoretti dough, ground almonds, ground coffee, coffee cream",'Check Bake' Game,"espresso powder, ginger, orange zest, mixed spice"
8,2,Peter,NA,NA,NA,NA,NA
8,3,James,IN,Nordic Teacakes,"cardamom, orange zest, lemon zest, port soaked sultanas, port soaked cranberries",'Owl in the Woods' Bread Sculpture,"raisin, saffron, walnuts, chocolate, sultanas, green tea, lemon zest"
8,3,Kate,IN,Blueberry Buns,"blueberry compote, cardamom, cinnamon butter",'Kraken' Bread Sculpture,"red dulse seaweed, paprika, basil, algae, smoked garlic"
8,3,Liam,IN,Jamaican Spiced Teacakes,"cherry, raisins, irish stout, ginger, cinnamon, almond butter",'Kneadapolitan' Bread Sculpture,"dried apricots, beetroot, cocoa powder"
8,3,Sophie,IN,Tagine Teacakes,"medjool dates, sumac, fig jam, almonds, apricots",'Picnic Basket' Bread Sculpture,"apple compote, pandan powder, cinnamon, walnuts, tortilla, beetroot"
8,3,Stacey,IN,Cranberry and Cinnamon Teacakes,"cranberry, cinnamon, whipped orange butter, wine jam, dried cranberries",'Ascot Hat' Bread Sculpture,"turmeric, lemon, poppy seeds, sesame seeds, activated charcoal, pesto, tomato sauce"
8,3,Steven,IN,Madras Cocktail Teacakes,"orange zest, dried cranberries, cardamom, vodka butter",'The Bag I Knead' Bread Sculpture,"chorizo, manchego, onion, garlic, spinach, beetroot, chilli chocolate, quince, sherry, chocolate, peppermint"
8,3,Tom,IN,Orange and Cranberry Teacakes,"cranberry, orange, mixed spice, white chocolate, apricot jam",'Pink & Yellow Rose Centrepiece' Bread Sculpture,"beetroot, turmeric, cumin, nigella seeds, pesto"
8,3,Yan,IN,'Mrs P's' Masala Chai Spiced Teacakes,"mango chutney, masala chai milk, crystallised ginger, sultanas, honey",'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,"white chocolate, raspberry glaze, parmesan cheese, spinach, coriander, basil, turmeric"
8,3,Flo,OUT,Cinnamon and Orange Teacakes,"orange, whisky, cinnamon, nutmeg, sultanas, candied peel",'Davy Jones' Locker' Bread Sculpture,"smoked paprika, sesame seeds, turmeric, beetroot, squid ink"
8,3,Julia,STAR BAKER,Earl Grey Dried Fruit Teacakes,"sultanas, currants, raisins, candied mixed peels, earl grey, cherry, orange marmalade, cinnamon, nutmeg",'The Snail Under a Mushroom' Bread Sculpture,"goats cheese, onion, spinach, parsley, cheddar, bacon, red pepper, paprika, potato, beetroot "
8,3,Chris,NA,NA,NA,NA,NA
8,3,Peter,NA,NA,NA,NA,NA
8,4,James,IN,'Windy City' Millionaire Shortbreads,"maple syrup, pecan, chocolate",Nutty Caramel Cake,"muscovado sugar, amaretto liqueur, peanut praline, honey comb, hazelnuts, sesame brittle"
8,4,Julia,IN,Pecan Salted Caramel Millionaire Shortbreads,"pecan, sea salt, golden syrup",Poppy Seed Caramel Cake,"caramelised walnut, poppy seeds, prunes, shards, caramel buttercream"
8,4,Liam,IN,Salted Peanut Butter Millionaire Shortbreads,"walnut, peanut butter, peanut butter oil, honey, peanut, dark chocolate",White Layered Ginger Caramel Cake,"black treacle, white chocolate buttercream, cinnamon, macadamia praline, ginger syrup, spiced caramel"
8,4,Sophie,IN,Jaffa Millionaire Shortbreads,"dark chocolate, orange zest, orange juice",Bird's Nest Caramel Cake,"hazelnuts, salted caramel ganache, chocolate, italian meringue butter cream, "
8,4,Stacey,IN,Rum Salted Caramel Millionaire Shortbreads,"rum, lime zest, chilli flakes, chocolate",Chocolate and Coffee Caramel Cake,"chocolate ganache, coffee essence, caramel buttercream"
8,4,Steven,IN,Orange Macadamia Nut Millionaire Shortbreads,"orange zest, macadamia nuts, coffee liqueur, chocolate",Caramel Crown Cake,"freeze-dried raspberries, red velvet, cocoa powder, caramel buttercream"
8,4,Yan,IN,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,"orange extract, crystalized ginger, hazelnuts, chocolate",Animals of the Rainforest Caramel Cake,"orange curd, cocoa powder, praline, orange zest, orange juice"
8,4,Tom,OUT,Stem Ginger Caramel Shortbreads,"chocolate, almond, stem ginger caramel, white chocolate",Hummingbird Cake,"banana, pineapple, lime cream cheese icing, passionfruit cream, pecan praline"
8,4,Kate,STAR BAKER,Salted Bay Caramel Millionaire Shortbreads,"walnut, bay leaves",Sticky Toffee Apple Caramel Cake,"dried apple, toffee buttercream, medjool dates "
8,4,Chris,NA,NA,NA,NA,NA
8,4,Flo,NA,NA,NA,NA,NA
8,4,Peter,NA,NA,NA,NA,NA
8,5,Julia,IN,Orange & Treacle Steamed School Pudding,"orange caramel sauce, vanilla custard, black treacle, orange",'Opulent Ornament' Trifle Terrine,"vanilla, liquere, prosecco and passion fruit jelly, chocolate mousse, raspberries, strawberries, blueberries"
